ID;First_pokemon;First_attack;Second_attack;Third_attack;Fouth_attack;Second_pokemon;First_attack.1;Second_attack.1;Third_attack.1;Fouth_attack.1;Winner
6283;645;218;290;156;502;7;108;525;200;315;7
6284;391;34;445;432;46;394;608;370;44;404;394
6285;620;421;484;76;484;162;89;46;118;67;162
6286;259;38;168;207;34;444;512;211;38;19;444
6287;401;290;565;258;207;590;214;487;328;328;590
6288;472;9;70;28;421;19;218;92;318;15;472
6289;62;10;374;290;118;307;502;182;148;100;307
6290;338;263;203;231;174;506;267;447;92;565;338
6291;616;526;104;360;207;171;172;189;280;210;616
6292;102;101;192;363;70;764;55;184;471;23;102
6293;651;104;529;412;589;455;58;103;34;241;455
6294;415;252;153;156;8;32;36;496;264;521;32
6295;748;366;216;92;281;529;443;263;397;86;748
6296;535;115;401;618;104;76;182;282;164;92;535
6297;311;416;15;9;71;359;25;118;433;213;311
6298;150;48;504;168;363;91;15;98;31;75;91
6299;380;522;55;249;206;329;389;422;213;244;380
6300;738;347;237;312;263;155;445;226;117;290;155
6301;537;572;417;41;506;29;202;489;379;282;537
6302;702;270;403;38;22;559;528;126;528;52;702
6303;37;7;168;496;468;80;182;594;567;207;80
6304;127;56;218;145;97;206;387;174;25;214;206
6305;629;283;292;283;401;244;278;182;143;278;629
6306;716;104;86;87;569;197;451;538;127;69;716
6307;798;60;568;557;374;307;220;304;240;331;307
6308;612;189;188;565;468;619;522;249;157;70;612
6309;422;59;280;413;363;381;522;213;397;307;422
6310;286;242;44;241;92;650;400;164;214;43;286
6311;470;408;300;376;128;211;214;70;390;231;211
6312;263;209;228;351;237;395;133;133;219;219;263
6313;535;220;417;268;10;427;253;434;210;239;427
6314;509;56;182;346;207;667;472;207;203;385;509
6315;467;363;38;104;339;574;237;413;280;447;467
6316;230;522;184;197;370;326;129;417;39;240;230
6317;507;314;109;503;175;516;91;15;216;231;516
6318;309;453;213;450;239;73;118;530;263;8;309
6319;315;10;515;332;216;201;69;111;241;519;315
6320;140;150;56;56;56;316;14;182;81;71;316
6321;166;260;114;331;502;707;304;113;219;92;166
6322;307;173;38;118;216;522;553;164;76;33;307
6323;508;244;263;59;168;218;194;219;68;243;508
6324;161;21;55;82;270;695;253;213;207;525;161
6325;609;173;176;216;79;405;362;127;416;36;405
6326;364;270;213;42;29;541;225;164;182;1;541
6327;452;402;207;42;343;323;217;195;145;189;452
6328;552;76;203;156;121;104;249;442;554;431;552
6329;513;420;103;244;421;711;211;349;157;581;513
6330;589;173;164;421;529;22;156;173;257;263;22
6331;76;79;380;182;104;444;370;290;445;182;444
6332;165;89;261;87;272;325;3;322;321;215;165
6333;428;416;409;9;433;794;411;407;138;240;428
6334;258;142;374;278;313;715;224;173;15;56;715
6335;239;445;38;174;174;470;104;270;56;164;239
6336;92;64;240;211;143;493;189;510;29;91;92
6337;562;269;210;92;400;240;197;471;414;90;562
6338;103;263;282;99;214;744;324;409;240;399;103
6339;363;173;29;210;371;398;182;363;237;581;398
6340;446;351;55;263;247;609;469;216;270;138;446
6341;716;409;70;451;94;526;496;84;278;565;526
6342;249;251;127;156;422;394;263;244;10;173;394
6343;727;191;416;14;98;393;400;210;241;138;727
6344;202;133;57;291;3;508;1;57;340;352;508
6345;219;304;34;213;148;13;200;34;461;29;219
6346;591;7;287;25;374;302;216;203;282;469;302
6347;608;270;263;567;182;510;8;258;521;437;608
6348;157;210;201;36;58;58;351;203;45;582;58
6349;246;372;475;445;466;365;156;270;129;407;246
6350;133;370;216;496;214;705;44;371;555;34;705
6351;82;175;276;29;28;35;237;38;85;24;35
6352;7;68;174;280;241;566;189;46;203;91;7
6353;380;496;102;45;445;270;477;247;414;247;270
6354;4;34;72;207;184;326;76;59;87;244;4
6355;361;19;104;29;70;467;189;39;290;118;467
6356;188;216;203;271;283;509;314;239;156;258;509
6357;308;55;214;81;216;32;9;347;213;130;32
6358;599;514;216;335;279;131;106;277;203;352;131
6359;554;38;227;515;433;3;33;565;117;414;554
6360;656;214;299;362;104;383;92;311;173;207;383
6361;443;369;104;403;211;550;14;496;351;351;550
6362;89;244;203;214;360;294;92;194;38;55;89
6363;597;503;175;249;56;680;174;341;203;92;597
6364;303;19;496;318;512;540;118;241;173;241;540
6365;694;164;210;514;430;775;342;104;263;188;694
6366;592;387;361;347;270;186;521;58;527;145;186
6367;275;69;36;104;214;431;157;241;237;337;275
6368;4;595;63;33;156;542;219;352;444;87;542
6369;788;381;565;153;331;599;9;277;269;203;788
6370;514;435;33;218;103;395;133;194;68;150;514
6371;19;237;64;218;213;670;506;261;148;180;19
6372;153;29;61;341;63;387;286;92;180;355;153
6373;103;567;280;63;513;614;264;164;244;184;103
6374;792;168;259;211;403;456;157;182;510;182;792
6375;574;261;265;272;67;539;182;502;271;478;574
6376;508;466;240;104;496;599;184;371;276;157;508
6377;774;201;164;360;496;157;115;246;363;129;157
6378;438;339;60;386;227;294;76;102;321;330;438
6379;396;313;290;247;148;253;138;199;451;76;253
6380;457;491;201;269;184;771;92;98;598;216;771
6381;772;164;356;364;7;460;483;522;235;175;772
6382;662;237;502;544;544;92;365;189;355;203;92
6383;593;432;280;565;168;566;92;207;416;423;566
6384;786;164;510;412;63;24;28;63;168;211;24
6385;79;474;156;164;291;355;444;164;240;222;355
6386;241;92;363;133;246;130;290;59;100;164;130
6387;38;214;38;115;398;286;608;237;496;156;286
6388;195;148;223;70;113;15;106;106;450;450;195
6389;763;263;181;189;330;620;354;416;335;163;620
6390;672;591;416;241;231;723;526;478;95;315;723
6391;397;182;89;399;181;756;607;312;63;219;397
6392;525;29;92;89;300;591;409;126;281;247;525
6393;423;602;89;351;203;616;359;598;276;257;616
6394;721;345;42;182;263;131;55;156;99;229;131
6395;443;218;156;445;213;449;148;87;36;85;443
6396;386;441;351;103;545;349;237;249;240;203;349
6397;516;164;59;32;591;719;345;162;91;214;516
6398;601;512;170;334;382;343;240;85;269;332;343
6399;177;263;514;468;270;139;510;504;58;36;139
6400;243;86;61;241;372;19;366;371;372;129;19
6401;496;352;610;173;402;764;482;213;341;173;496
6402;35;249;15;34;130;216;63;195;194;86;216
6403;691;180;207;373;417;246;179;328;62;207;246
6404;780;218;261;620;50;532;572;244;565;492;532
6405;637;240;207;478;271;466;36;44;216;226;466
6406;334;179;201;9;442;329;269;220;114;241;329
6407;177;38;92;249;369;455;103;419;85;89;177
6408;552;496;402;366;218;85;130;241;182;241;552
6409;760;482;28;341;371;248;257;143;180;231;248
6410;315;10;203;175;232;733;394;522;450;33;315
6411;773;182;402;113;393;644;237;430;182;106;773
6412;261;203;562;320;146;129;216;282;401;250;261
6413;334;76;352;280;565;770;36;182;267;496;770
6414;657;92;240;451;129;787;598;237;417;285;787
6415;466;453;29;565;45;326;173;383;526;45;466
6416;630;28;168;371;491;722;95;113;227;52;630
6417;1;76;204;22;206;717;298;282;241;369;717
6418;413;205;446;271;444;257;249;34;249;290;257
6419;291;589;218;416;156;700;24;496;368;214;700
6420;244;470;433;524;97;460;219;412;168;290;244
6421;299;189;326;153;156;293;164;104;324;168;299
6422;234;496;104;363;179;202;223;253;189;610;234
6423;581;213;542;369;269;750;467;263;214;393;581
6424;532;168;109;156;500;779;412;421;318;421;532
6425;551;361;361;207;164;585;263;446;203;414;551
6426;604;156;360;263;38;656;244;347;214;3;656
6427;45;409;3;412;480;264;92;174;70;29;264
6428;736;257;371;514;526;361;450;149;207;450;736
6429;466;231;346;352;374;768;565;457;39;364;466
6430;143;171;29;420;218;541;246;510;487;156;541
6431;221;84;194;117;117;256;104;170;104;174;221
6432;739;203;129;605;204;323;59;503;293;55;739
6433;98;58;102;112;120;185;486;56;175;104;185
6434;67;5;258;363;291;95;420;562;127;168;67
6435;562;92;263;227;410;539;278;94;237;204;539
6436;630;173;402;402;156;783;447;433;267;180;630
6437;41;133;253;101;69;484;417;126;283;70;484
6438;748;507;207;478;290;649;86;228;213;164;748
6439;319;237;67;352;247;784;164;286;496;220;784
6440;688;213;164;584;57;527;218;571;526;263;527
6441;717;8;285;512;63;624;164;212;466;335;624
6442;163;565;351;272;85;487;363;447;191;272;163
6443;768;280;414;414;173;391;203;466;348;104;768
6444;186;136;92;102;215;49;148;115;298;447;186
6445;505;445;270;9;63;442;45;432;257;432;505
6446;181;213;565;512;182;689;413;306;413;512;181
6447;443;363;92;214;98;733;144;263;77;550;443
6448;356;29;83;246;90;308;324;189;145;203;356
6449;101;502;202;168;174;401;333;182;523;416;101
6450;118;104;345;269;33;777;342;434;282;40;777
6451;733;476;476;77;77;684;240;94;359;321;684
6452;505;431;280;610;67;545;129;109;432;401;545
6453;248;241;29;389;38;687;397;240;282;92;248
6454;788;237;488;412;241;308;168;226;127;145;788
6455;313;182;565;198;495;49;99;267;207;380;313
6456;387;171;86;86;180;317;201;173;522;214;317
6457;572;249;105;380;92;25;86;174;240;203;572
6458;221;249;156;467;173;234;171;98;154;374;221
6459;371;363;502;414;502;245;432;157;331;523;245
6460;259;25;521;270;203;256;104;290;214;92;259
6461;360;38;34;90;92;145;115;164;485;228;360
6462;779;115;272;565;164;47;156;164;164;104;47
6463;137;200;480;276;182;576;496;59;416;264;576
6464;548;55;244;216;207;435;363;452;254;33;548
6465;126;117;330;164;61;529;199;9;63;328;529
6466;403;20;503;92;56;3;290;526;29;72;3
6467;431;171;69;101;565;375;206;43;59;371;431
6468;43;36;417;226;91;796;38;244;343;153;43
6469;101;214;92;399;192;526;129;451;60;60;526
6470;773;140;63;451;203;209;76;450;168;207;773
6471;794;156;157;168;50;758;20;500;156;477;794
6472;223;184;28;218;565;524;185;191;38;445;524
6473;20;280;332;529;577;118;173;53;85;85;20
6474;507;240;237;207;16;220;356;207;182;179;507
6475;583;253;39;98;290;155;372;143;510;197;155
6476;688;543;336;43;216;45;55;282;38;213;688
6477;657;528;263;237;565;425;249;76;214;68;425
6478;215;33;33;58;213;588;316;565;428;214;588
6479;76;29;615;72;363;700;36;46;340;179;700
6480;791;432;156;314;528;249;213;304;63;304;249
6481;68;280;283;67;523;599;117;335;279;270;68
6482;194;231;231;231;92;530;207;445;156;157;530
6483;171;197;436;210;102;413;418;309;397;201;171
6484;696;487;242;34;525;217;237;237;237;237;696
6485;430;430;354;269;38;673;242;496;496;351;430
6486;287;214;203;187;497;125;250;8;458;252;125
6487;693;156;562;400;374;399;254;157;214;523;693
6488;541;70;523;339;444;428;447;237;38;263;428
6489;230;218;517;276;418;700;15;446;484;98;700
6490;780;157;389;104;267;162;314;349;486;466;162
6491;177;561;59;197;468;476;104;409;610;8;476
6492;343;68;87;290;116;547;236;416;54;92;547
6493;579;116;182;164;565;267;88;610;565;29;579
6494;380;182;189;414;237;468;565;578;445;173;380
6495;798;588;60;93;416;259;290;168;530;5;259
6496;297;120;92;492;241;101;412;399;72;109;101
6497;16;93;522;432;94;92;19;497;211;213;92
6498;606;164;205;213;263;141;258;89;38;38;606
6499;94;290;324;420;494;182;329;522;615;50;94
6500;161;104;349;38;496;640;93;138;477;433;161
6501;447;173;283;609;283;104;130;205;203;156;104
6502;644;203;58;324;475;520;466;366;213;25;520
6503;161;525;35;92;164;486;36;377;101;115;161
6504;544;530;411;276;419;580;164;173;16;365;544
6505;232;526;498;363;68;292;81;81;81;527;232
6506;795;225;218;93;453;513;43;168;36;555;513
6507;682;501;207;501;188;226;242;8;265;9;682
6508;313;68;281;280;478;596;237;414;92;258;313
6509;48;242;197;253;501;683;451;92;188;237;48
6510;530;371;374;259;241;267;156;200;349;157;267
6511;724;290;213;207;415;423;207;258;63;244;724
6512;43;343;361;226;488;299;257;257;374;73;299
6513;215;492;196;38;374;633;490;15;242;510;633
6514;744;91;304;589;428;216;94;567;261;253;216
6515;198;120;74;298;542;228;309;196;38;503;228
6516;191;69;500;86;102;48;365;191;314;269;48
6517;582;98;486;37;216;274;43;210;288;43;274
6518;605;263;241;371;565;539;428;477;409;326;539
6519;625;477;286;148;168;481;189;496;445;10;481
6520;512;168;352;220;447;462;60;314;369;77;462
6521;603;115;494;416;267;613;5;292;424;180;603
6522;495;145;250;164;201;361;16;243;28;368;495
6523;351;34;89;104;263;648;241;523;143;247;648
6524;241;175;247;350;91;177;249;343;416;8;177
6525;132;223;324;34;244;701;203;179;397;92;701
6526;625;194;263;566;412;376;567;60;385;496;376
6527;17;450;527;40;81;311;29;441;412;182;311
6528;324;259;145;350;220;227;431;63;247;351;227
6529;514;38;85;527;496;579;203;432;218;432;514
6530;305;497;512;156;432;191;496;264;271;525;305
6531;492;231;206;581;249;523;343;44;39;258;523
6532;702;310;214;565;448;432;203;280;67;113;432
6533;126;218;213;214;352;691;373;334;366;173;691
6534;646;334;216;429;329;395;194;133;243;227;646
6535;459;203;94;405;450;179;218;45;129;94;179
6536;225;484;446;29;431;678;174;151;151;104;225
6537;255;166;166;166;166;372;90;38;565;213;255
6538;294;400;148;250;447;292;450;527;450;450;294
6539;769;290;263;397;85;10;334;36;249;174;769
6540;566;270;237;203;237;208;202;216;75;605;566
6541;147;156;445;496;174;216;253;195;371;345;147
6542;733;469;78;455;33;469;416;104;33;544;469
6543;582;85;241;207;213;348;240;445;162;127;582
6544;4;115;92;33;249;338;240;572;98;435;4
6545;493;44;14;91;189;792;92;399;257;528;792
6546;524;98;414;397;241;230;522;219;403;63;524
6547;354;182;484;202;38;755;412;538;313;237;755
6548;462;496;432;202;474;741;608;91;156;437;462
6549;101;153;472;85;7;129;57;487;416;487;101
6550;432;67;375;87;590;182;104;173;363;425;432
6551;356;496;394;445;243;584;475;263;33;33;356
6552;282;503;264;291;276;448;263;237;318;104;448
6553;571;76;269;218;496;264;197;315;70;347;264
6554;340;242;263;209;268;58;332;148;270;156;340
6555;537;504;87;207;399;664;209;451;393;282;537
6556;407;156;207;164;565;433;83;526;523;412;407
6557;771;214;569;514;216;124;46;1;263;196;124
6558;247;173;251;242;290;225;174;157;10;174;225
6559;74;270;7;410;479;345;312;214;73;605;345
6560;339;33;63;423;290;397;420;111;310;156;339
6561;300;119;116;240;116;39;36;130;241;104;300
6562;755;412;240;187;565;400;290;181;57;111;755
6563;532;271;240;572;182;402;92;128;38;363;402
6564;462;93;104;324;445;675;263;213;58;263;462
6565;650;400;214;412;30;272;219;368;226;352;272
6566;762;180;55;291;213;31;374;25;451;164;31
6567;123;22;20;445;156;516;182;374;5;264;123
6568;337;602;428;526;7;575;231;44;291;490;337
6569;262;174;89;92;107;312;70;34;351;389;262
6570;732;526;19;98;203;321;374;99;164;57;732
6571;481;45;154;127;343;367;261;608;332;203;481
6572;1;188;207;200;36;381;334;237;189;341;381
6573;674;157;280;555;91;99;263;59;419;41;674
6574;364;76;536;28;76;108;232;29;290;38;108
6575;340;268;435;204;182;717;496;70;93;290;340
6576;745;214;207;416;451;302;36;173;362;207;745
6577;766;5;486;406;263;34;99;92;157;259;34
6578;493;213;239;91;46;531;220;389;333;374;531
6579;520;271;263;387;365;786;502;202;184;184;786
6580;358;285;477;16;133;589;207;156;237;104;358
6581;612;168;257;207;180;7;249;76;483;34;7
6582;781;173;203;395;94;334;56;401;246;231;781
6583;430;196;216;352;156;71;374;63;60;374;430
6584;667;377;286;29;545;95;224;122;38;29;95
6585;369;562;216;214;364;727;92;518;196;45;727
6586;723;95;94;60;39;647;156;313;36;270;647
6587;61;249;70;408;226;595;203;25;8;339;61
6588;496;276;187;416;228;726;352;203;399;180;496
6589;710;523;218;216;19;554;126;86;237;272;554
6590;57;482;492;290;444;663;397;544;20;86;57
6591;353;394;484;23;426;301;366;416;129;332;301
6592;550;421;259;92;188;415;244;409;8;111;550
6593;187;290;173;393;57;465;164;45;44;402;465
6594;156;8;290;422;85;645;120;565;429;290;645
6595;285;514;555;363;417;297;29;91;496;251;285
6596;281;469;59;174;117;758;149;500;502;356;758
6597;213;180;15;492;214;83;479;263;174;276;213
6598;19;14;355;404;164;16;203;522;203;230;19
6599;437;409;313;205;229;520;211;416;1;387;437
6600;793;77;496;46;290;683;91;374;207;430;793
6601;83;335;111;290;446;231;249;34;174;117;83
6602;366;542;156;138;270;227;33;567;361;339;227
6603;366;263;213;597;173;462;81;241;474;324;366
6604;62;102;263;147;118;182;389;232;60;445;62
6605;642;542;362;392;218;200;287;227;196;189;642
6606;746;290;252;148;85;460;156;241;445;63;746
6607;248;34;102;555;240;666;51;264;164;528;248
6608;191;129;266;38;86;761;608;182;564;237;191
6609;393;340;224;10;364;615;485;156;207;283;393
6610;526;241;253;244;164;585;335;290;214;267;585
6611;506;182;207;73;256;380;280;29;156;404;380
6612;360;28;444;523;492;761;156;291;207;401;360
6613;189;203;47;38;115;195;203;85;97;374;195
6614;211;34;92;25;341;399;57;237;324;218;211
6615;569;237;247;445;231;65;164;214;242;99;65
6616;731;542;241;207;19;166;491;263;373;168;166
6617;765;382;84;157;164;72;277;384;500;96;72
6618;470;281;216;352;263;287;36;104;245;218;287
6619;691;345;257;334;269;222;510;111;184;34;691
6620;486;248;36;205;205;650;529;290;263;207;650
6621;595;67;223;137;610;107;565;55;21;400;107
6622;613;328;556;70;268;128;98;97;487;203;613
6623;136;490;102;184;53;798;374;219;214;278;798
6624;115;93;168;389;370;148;363;226;53;231;115
6625;787;235;53;411;619;72;36;390;223;364;787
6626;132;149;69;36;567;501;304;263;330;104;501
6627;487;335;270;102;156;267;334;555;444;371;267
6628;146;130;565;343;213;404;133;129;362;196;146
6629;425;164;411;87;7;514;241;218;278;115;425
6630;121;57;470;423;351;527;85;265;86;210;527
6631;164;34;478;113;129;111;270;171;203;263;164
6632;35;45;263;260;15;394;216;34;38;565;394
6633;176;218;545;197;58;674;601;349;337;370;674
6634;654;466;105;351;250;617;214;218;216;334;617
6635;416;442;397;324;335;579;207;95;97;43;416
6636;696;414;200;244;86;560;173;372;214;76;560
6637;340;134;46;555;268;607;47;251;182;218;340
6638;181;5;81;4;450;316;232;10;468;214;316
6639;670;394;608;598;138;486;408;326;360;502;670
6640;362;606;104;510;239;794;512;355;373;332;362
6641;221;104;397;214;529;706;213;496;253;279;706
6642;586;290;335;120;156;412;92;468;89;249;412
6643;393;216;197;85;63;439;401;117;311;240;393
6644;518;216;496;103;416;643;38;351;291;104;643
6645;703;173;512;156;179;99;99;341;48;117;703
6646;314;282;280;398;155;8;44;519;488;517;8
6647;13;8;182;411;250;504;269;492;501;182;13
6648;367;8;497;416;241;759;251;58;263;269;367
6649;767;608;89;414;216;281;237;55;102;36;767
6650;727;92;482;207;203;11;186;54;223;291;727
6651;96;254;259;29;325;648;173;237;86;428;648
6652;345;241;240;182;171;228;127;175;363;255;228
6653;222;111;451;226;360;680;84;188;175;382;222
6654;106;100;244;263;445;2;92;235;270;79;106
6655;706;19;339;213;182;190;237;571;115;204;706
6656;317;10;214;496;102;606;214;620;89;324;606
6657;696;251;555;423;269;262;173;214;408;218;696
6658;405;34;102;246;203;279;157;272;263;297;279
6659;390;371;118;156;85;98;258;182;341;153;98
6660;567;92;526;514;608;299;384;244;237;363;299
6661;291;173;445;168;589;423;157;219;184;496;423
6662;634;343;495;351;343;611;283;457;487;156;611
6663;289;40;173;527;81;632;213;279;417;36;632
6664;20;156;90;522;76;114;514;444;414;203;20
6665;11;250;243;270;216;475;129;374;207;409;475
6666;468;237;219;381;311;638;118;343;60;144;638
6667;355;133;45;254;416;159;403;332;104;53;159
6668;564;207;14;242;441;472;492;182;91;164;472
6669;333;269;337;157;328;391;314;63;536;523;391
6670;480;282;496;351;189;576;213;512;441;411;576
6671;606;324;249;203;207;592;381;282;282;5;606
6672;197;203;86;84;583;667;244;565;253;377;197
6673;609;494;621;230;312;38;48;32;237;36;38
6674;265;249;92;189;496;398;44;184;41;44;398
6675;542;414;87;127;46;240;263;104;31;213;542
6676;287;514;526;57;245;386;156;347;567;104;386
6677;125;61;182;23;389;531;286;170;313;286;531
6678;158;466;237;594;257;165;373;347;249;339;165
6679;355;284;156;120;430;222;341;138;53;360;222
6680;52;103;103;147;188;300;445;363;64;241;300
6681;275;332;225;242;72;518;84;571;67;359;275
6682;491;500;180;607;373;19;218;241;228;280;19
6683;799;409;173;203;351;135;253;9;103;238;135
6684;407;428;134;36;216;255;166;166;166;166;255
6685;468;92;345;218;267;426;270;182;184;196;426
6686;596;237;352;482;482;685;92;249;9;219;685
6687;230;458;182;318;314;142;53;214;250;523;142
6688;790;182;416;130;44;214;102;496;403;197;214
6689;619;210;68;76;173;347;378;153;416;102;347
6690;560;282;126;179;283;434;207;605;29;15;560
6691;425;359;339;280;129;204;203;363;512;331;425
6692;302;413;363;173;258;520;387;237;442;207;302
6693;646;153;311;151;263;232;280;405;218;360;232
6694;42;161;356;567;352;238;444;436;170;52;42
6695;126;196;203;225;291;757;400;492;373;471;126
6696;80;311;99;379;174;379;133;164;148;254;80
6697;764;127;145;216;311;97;103;106;164;201;764
6698;675;501;5;404;45;374;104;240;206;290;675
6699;598;8;392;620;374;424;156;15;284;156;424
6700;75;264;197;164;370;621;200;29;36;218;75
6701;524;61;189;12;364;513;232;421;575;36;513
6702;40;249;419;9;350;586;249;334;232;334;40
6703;555;73;496;447;164;38;290;111;203;111;555
6704;389;433;279;141;43;225;38;29;120;89;225
6705;490;173;272;168;304;257;5;514;411;253;490
6706;108;43;468;104;511;469;164;164;290;605;469
6707;11;341;330;250;70;601;104;235;148;263;11
6708;469;278;358;551;33;728;259;339;70;528;469
6709;164;352;76;189;120;520;314;76;156;280;164
6710;27;240;197;257;19;456;53;126;189;368;27
6711;51;188;412;216;294;337;104;496;305;270;337
6712;682;416;97;59;364;578;285;271;203;290;682
6713;387;259;34;286;212;471;473;482;173;89;387
6714;205;36;40;476;33;440;173;196;258;250;205
6715;704;512;182;263;173;329;70;247;389;53;704
6716;180;9;314;332;202;496;352;122;68;56;496
6717;434;520;33;256;218;755;113;218;187;164;755
6718;190;25;207;246;237;294;321;55;253;203;294
6719;113;14;102;36;609;284;419;5;44;203;284
6720;646;253;496;113;120;576;278;610;352;263;576
6721;606;530;416;40;263;641;277;157;156;113;606
6722;151;110;174;397;131;727;291;127;145;63;727
6723;118;29;510;510;173;617;33;173;384;218;617
6724;681;232;218;252;92;39;468;529;216;156;39
6725;633;227;347;371;411;668;105;161;572;220;633
6726;397;523;399;492;58;531;363;358;29;182;531
6727;665;202;486;491;527;56;164;168;157;526;56
6728;630;133;620;620;120;257;33;226;201;5;257
6729;70;231;385;207;278;430;269;409;502;244;430
6730;713;283;355;214;181;612;496;382;182;182;713
6731;750;207;360;475;92;249;214;104;156;600;249
6732;595;610;409;523;444;726;122;203;447;15;595
6733;225;397;335;249;216;496;103;445;118;53;225
6734;230;369;370;98;173;201;25;34;173;106;230
6735;226;85;445;528;192;316;512;369;81;565;316
6736;133;68;226;404;17;347;168;9;374;14;133
6737;528;237;348;410;502;579;240;526;497;432;528
6738;683;338;9;156;259;88;277;374;55;104;683
6739;114;69;90;157;116;376;290;207;377;572;376
6740;672;242;70;371;207;468;218;205;36;148;672
6741;344;318;522;374;290;635;567;497;113;182;635
6742;218;133;150;68;243;561;362;91;210;56;561
6743;672;276;26;15;523;475;610;67;85;526;475
6744;690;97;276;232;64;677;352;120;237;352;677
6745;212;241;263;171;244;511;203;452;420;240;212
6746;38;91;237;102;241;98;229;250;38;59;38
6747;687;400;91;218;332;487;414;543;299;191;687
6748;722;492;565;227;473;242;402;63;199;175;242
6749;706;555;164;372;218;496;228;103;34;196;706
6750;252;241;223;282;36;340;148;168;422;422;252
6751;5;311;214;421;189;338;336;235;151;85;338
6752;328;212;252;180;606;446;58;189;205;174;446
6753;754;567;186;477;85;703;416;92;240;97;703
6754;153;250;400;36;362;437;315;244;179;343;437
6755;253;173;207;351;332;690;355;442;64;64;690
6756;148;173;270;500;83;248;488;247;517;416;248
6757;149;148;428;129;85;688;99;23;276;116;688
6758;224;88;231;445;218;542;421;421;212;401;542
6759;707;61;163;163;432;526;332;87;240;399;526
6760;40;479;173;104;276;469;372;74;214;394;469
6761;574;610;231;182;231;509;250;133;565;33;574
6762;362;318;89;202;203;282;281;103;58;207;362
6763;668;271;240;216;500;462;214;63;63;239;462
6764;611;413;276;104;213;467;445;352;401;57;467
6765;584;455;33;36;70;660;216;402;356;351;660
6766;465;497;227;207;561;380;28;282;241;157;465
6767;650;282;324;163;29;53;14;522;113;214;650
6768;390;173;38;399;558;737;126;429;133;599;737
6769;487;182;280;173;88;597;51;253;380;497;597
6770;310;34;14;38;102;317;218;261;28;218;317
6771;249;241;214;417;514;156;102;173;103;34;156
6772;362;201;318;349;468;373;184;203;55;503;362
6773;454;103;85;479;9;132;285;104;5;87;132
6774;738;226;22;497;33;18;527;81;334;450;738
6775;155;424;363;88;466;637;93;259;269;428;155
6776;465;164;343;156;422;16;92;174;355;572;465
6777;746;182;324;43;48;252;608;102;290;31;746
6778;520;76;264;428;113;338;486;214;53;424;520
6779;178;129;253;297;211;642;129;432;352;270;642
6780;574;15;216;68;15;87;68;91;210;59;574
6781;751;179;427;379;514;174;253;423;330;518;174
6782;444;403;33;263;98;596;496;207;188;218;444
6783;759;89;371;28;332;463;173;16;405;109;463
6784;378;156;237;363;38;680;85;589;213;188;680
6785;370;164;157;173;416;137;213;371;38;290;137
6786;712;247;152;421;129;241;104;182;381;104;712
6787;116;174;14;70;339;737;70;33;565;76;737
6788;465;445;214;182;240;703;263;417;240;314;703
6789;465;351;98;182;590;260;218;7;292;36;465
6790;440;127;55;233;311;480;352;332;173;565;480
6791;69;478;174;118;104;191;56;205;176;197;191
6792;120;157;422;242;529;754;451;409;241;218;754
6793;651;214;164;405;163;658;521;210;290;40;658
6794;218;194;204;243;227;525;328;92;496;210;525
6795;477;396;76;451;264;459;502;483;402;483;477
6796;532;92;85;432;270;701;516;397;279;565;532
6797;208;567;236;63;218;441;89;56;182;29;441
6798;320;182;68;59;263;799;374;475;258;173;799
6799;152;237;229;91;36;87;93;249;104;409;152
6800;497;249;91;421;68;156;535;174;442;57;497
6801;762;216;63;85;434;576;276;565;468;610;576
6802;484;620;259;10;213;141;225;61;258;156;484
6803;50;236;567;345;80;469;241;578;567;445;469
6804;394;85;248;340;148;690;63;249;70;36;394
6805;181;29;223;81;363;120;182;91;414;253;120
6806;740;290;285;270;203;452;447;346;182;15;740
6807;238;174;510;436;52;736;269;565;188;269;736
6808;630;124;256;254;491;406;244;20;33;36;406
6809;226;283;162;387;523;648;428;523;565;213;648
6810;605;496;450;104;290;568;609;241;87;253;568
6811;256;203;523;102;68;586;156;89;446;216;256
6812;210;68;341;219;330;290;450;527;527;334;290
6813;399;392;164;90;196;209;202;98;190;214;209
6814;13;46;428;57;242;48;247;72;98;432;48
6815;108;502;282;97;156;155;466;29;225;102;155
6816;435;214;202;565;447;550;510;104;58;264;550
6817;735;522;494;48;60;478;286;164;332;129;478
6818;403;489;340;173;290;464;109;496;182;179;403
6819;83;259;175;46;360;660;332;213;232;442;83
6820;197;178;68;567;496;640;237;277;101;589;197
6821;457;393;63;240;42;27;182;211;184;119;27
6822;532;114;86;220;576;731;216;64;218;394;532
6823;673;510;416;374;38;390;25;114;59;216;673
6824;550;409;421;387;510;490;92;143;156;604;550
6825;8;52;363;108;290;257;529;364;189;42;8
6826;715;214;514;196;276;577;259;263;129;324;715
6827;14;81;450;81;527;541;200;184;104;409;541
6828;561;250;258;279;374;755;168;312;383;216;755
6829;64;241;608;241;263;702;249;182;156;179;702
6830;495;445;374;240;33;235;213;479;36;608;495
6831;670;214;203;351;290;785;241;214;565;182;785
6832;79;589;277;129;505;720;530;182;444;341;79
6833;192;477;104;539;290;740;495;235;496;601;740
6834;215;278;93;306;290;751;393;207;457;565;751
6835;704;182;432;207;310;289;40;33;40;33;704
6836;233;224;224;14;114;702;235;565;244;404;702
6837;459;477;363;190;285;106;9;447;567;290;106
6838;86;133;562;70;335;517;173;220;275;267;517
